rule	status	action	surface	reading	target_or_allowed	baseline_expected_matches	source_before	target_before	missing_targets	matched	removed	added	skipped_existing	detail	note
21	APPLIED	MOVE	Android Nougat	あんどろいどしっくすぬがー	あんどろいどせぶんぬがー -> Android 7 Nougat	1	1	0	あんどろいどせぶんぬがー -> Android 7 Nougat	1	1	1	0	基準時と同じ補正元を処理します。	Nougatの版数を7として表記と読みを一致
22	APPLIED	MOVE	引越社	ひっこしぎょうしゃ	ひっこしぎょうしゃ -> 引越業者	1	1	0	ひっこしぎょうしゃ -> 引越業者	1	1	1	0	基準時と同じ補正元を処理します。	業者の読みを対応する表記へ移動
23	APPLIED	MOVE	炎天下	えんてんかのなか	えんてんかのなか -> 炎天下の中	1	1	0	えんてんかのなか -> 炎天下の中	1	1	1	0	基準時と同じ補正元を処理します。	表記にない「の中」を対応する表記へ移動
24	APPLIED	MOVE	辺野古違法確認訴訟	へのこいせつのいほうかくにんそしょう	へのこいせつのいほうかくにんそしょう -> 辺野古移設の違法確認訴訟	1	1	0	へのこいせつのいほうかくにんそしょう -> 辺野古移設の違法確認訴訟	1	1	1	0	基準時と同じ補正元を処理します。	移設のを含む読みを対応する表記へ移動
25	APPLIED	MOVE	Android Lollipop	あんどろいどふぁいぶろりぽっぷ	あんどろいどふぁいぶろりぽっぷ -> Android 5 Lollipop	1	1	0	あんどろいどふぁいぶろりぽっぷ -> Android 5 Lollipop	1	1	1	0	基準時と同じ補正元を処理します。	版数を含む表記へ移動
26	APPLIED	MOVE	Android Marshmallow	あんどろいどしっくすましゅまろ	あんどろいどしっくすましゅまろ -> Android 6 Marshmallow	1	1	0	あんどろいどしっくすましゅまろ -> Android 6 Marshmallow	1	1	1	0	基準時と同じ補正元を処理します。	版数を含む表記へ移動
27	APPLIED	MOVE	Free!	ふりーたいむれすめどれー	ふりーたいむれすめどれー -> Free!-Timeless Medley-	1	1	1		1	1	0	1	基準時と同じ補正元を処理します。	副題を含む作品表記へ移動
28	APPLIED	MOVE	GeForce GTX	じーふぉーすじーてぃーえっくすたいたんえっくす	じーふぉーすじーてぃーえっくすたいたんえっくす -> GeForce GTX TITAN X	1	1	0	じーふぉーすじーてぃーえっくすたいたんえっくす -> GeForce GTX TITAN X	1	1	1	0	基準時と同じ補正元を処理します。	TITAN Xを含む製品表記へ移動
29	APPLIED	MOVE	GeForce GTX	じーふぉーすじーてぃーえっくすたいたんぜっと	じーふぉーすじーてぃーえっくすたいたんぜっと -> GeForce GTX TITAN Z	1	1	0	じーふぉーすじーてぃーえっくすたいたんぜっと -> GeForce GTX TITAN Z	1	1	1	0	基準時と同じ補正元を処理します。	TITAN Zを含む製品表記へ移動
30	APPLIED	MOVE	タレントCM起用社数ランキング	たれんとてれびしーえむきようしゃすうらんきんぐ	たれんとてれびしーえむきようしゃすうらんきんぐ -> タレントテレビCM起用社数ランキング	1	1	0	たれんとてれびしーえむきようしゃすうらんきんぐ -> タレントテレビCM起用社数ランキング	1	1	1	0	基準時と同じ補正元を処理します。	テレビを含む表記へ移動
31	APPLIED	MOVE	御花畑駅	おはなばたけしばざくらえき	おはなばたけしばざくらえき -> 御花畑（芝桜）駅	1	1	0	おはなばたけしばざくらえき -> 御花畑（芝桜）駅	1	1	1	0	基準時と同じ補正元を処理します。	副駅名を含む表記へ移動
32	APPLIED	MOVE	接触ICカード	せっしょくがたあいしーかーど	せっしょくがたあいしーかーど -> 接触型ICカード	1	1	0	せっしょくがたあいしーかーど -> 接触型ICカード	1	1	1	0	基準時と同じ補正元を処理します。	型を含む表記へ移動
33	APPLIED	MOVE	接触ICタグ	せっしょくがたあいしーたぐ	せっしょくがたあいしーたぐ -> 接触型ICタグ	1	1	0	せっしょくがたあいしーたぐ -> 接触型ICタグ	1	1	1	0	基準時と同じ補正元を処理します。	型を含む表記へ移動
34	APPLIED	MOVE	接触ICチップ	せっしょくがたあいしーちっぷ	せっしょくがたあいしーちっぷ -> 接触型ICチップ	1	1	0	せっしょくがたあいしーちっぷ -> 接触型ICチップ	1	1	1	0	基準時と同じ補正元を処理します。	型を含む表記へ移動
35	APPLIED	MOVE	眼窩吹き抜け骨折	がんかていふきぬけこっせつ	がんかていふきぬけこっせつ -> 眼窩底吹き抜け骨折	1	1	0	がんかていふきぬけこっせつ -> 眼窩底吹き抜け骨折	1	1	1	0	基準時と同じ補正元を処理します。	眼窩底を含む表記へ移動
36	APPLIED	MOVE	非接触ICタグ	ひせっしょくがたあいしーたぐ	ひせっしょくがたあいしーたぐ -> 非接触型ICタグ	1	1	0	ひせっしょくがたあいしーたぐ -> 非接触型ICタグ	1	1	1	0	基準時と同じ補正元を処理します。	型を含む表記へ移動
37	APPLIED	MOVE	非接触ICチップ	ひせっしょくがたあいしーちっぷ	ひせっしょくがたあいしーちっぷ -> 非接触型ICチップ	1	1	0	ひせっしょくがたあいしーちっぷ -> 非接触型ICチップ	1	1	1	0	基準時と同じ補正元を処理します。	型を含む表記へ移動
38	APPLIED	MOVE	Jun.K	じゅんけいふろむつーぴーえむ	じゅんけいふろむつーぴーえむ -> Jun.K from 2PM	1	1	0	じゅんけいふろむつーぴーえむ -> Jun.K from 2PM	1	1	1	0	基準時と同じ補正元を処理します。	所属表現を含む表記へ移動
39	APPLIED	MOVE	MIKIKO	みきこめたる	みきこめたる -> MIKIKO-METAL	1	1	0	みきこめたる -> MIKIKO-METAL	1	1	1	0	基準時と同じ補正元を処理します。	別名を独立表記へ移動
40	APPLIED	MOVE	Na-Ga	ながきーびじゅあるあーつ	ながきーびじゅあるあーつ -> Na-Ga (Key/VisualArt's)	1	1	0	ながきーびじゅあるあーつ -> Na-Ga (Key/VisualArt's)	1	1	1	0	基準時と同じ補正元を処理します。	所属を含む表記へ移動
41	APPLIED	MOVE	PixMob	ぴくすもぶすぱーく	ぴくすもぶすぱーく -> PixMob Spark	1	1	0	ぴくすもぶすぱーく -> PixMob Spark	1	1	1	0	基準時と同じ補正元を処理します。	製品名を独立表記へ移動
42	APPLIED	MOVE	TAIJI	ふじもとたいじ	ふじもとたいじ -> 藤本泰司	1	1	0	ふじもとたいじ -> 藤本泰司	1	1	1	0	基準時と同じ補正元を処理します。	本名の表記へ移動
43	APPLIED	MOVE	コトダマ空間	あいあーるしーことだまくうかん	あいあーるしーことだまくうかん -> IRCコトダマ空間	1	1	0	あいあーるしーことだまくうかん -> IRCコトダマ空間	1	1	1	0	基準時と同じ補正元を処理します。	IRCを含む表記へ移動
44	APPLIED	MOVE	シード平和	しーどへいわかぶしきがしゃ	しーどへいわかぶしきがしゃ -> 株式会社シード平和	1	1	0	しーどへいわかぶしきがしゃ -> 株式会社シード平和	1	1	1	0	基準時と同じ補正元を処理します。	法人種別を含む表記へ移動
45	APPLIED	MOVE	不定愁訴	ふていしゅうそしょうこうぐん	ふていしゅうそしょうこうぐん -> 不定愁訴症候群	1	1	0	ふていしゅうそしょうこうぐん -> 不定愁訴症候群	1	1	1	0	基準時と同じ補正元を処理します。	症候群を含む表記へ移動
46	APPLIED	MOVE	八ッ橋	かたいやつはし	かたいやつはし -> 硬い八ッ橋	1	1	0	かたいやつはし -> 硬い八ッ橋	1	1	1	0	基準時と同じ補正元を処理します。	形容を含む表記へ移動
47	APPLIED	MOVE	南港ポートタウン線	おおさかしこうつうきょくなんこうぽーとたうんせん	おおさかしこうつうきょくなんこうぽーとたうんせん -> 大阪市交通局南港ポートタウン線	1	1	0	おおさかしこうつうきょくなんこうぽーとたうんせん -> 大阪市交通局南港ポートタウン線	1	1	1	0	基準時と同じ補正元を処理します。	運営組織名を含む表記へ移動
48	APPLIED	MOVE	金剛	せんかんこんごう	せんかんこんごう -> 戦艦金剛	1	1	0	せんかんこんごう -> 戦艦金剛	1	1	1	0	基準時と同じ補正元を処理します。	艦種を含む表記へ移動
49	APPLIED	DELETE	北東アジア非核兵器地帯	ほくとうあじあのひかくへいきちたい		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	表記にない「の」を含む読みを削除
50	APPLIED	DELETE	核廃絶	かくへいきなきせかい		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	言い換えを厳密読みから削除
51	APPLIED	DELETE	色彩のみからなる商標	しきさいのとうろくしょうひょう		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	表記にない「登録」を含む読みを削除
52	APPLIED	DELETE	P!NK	ぴんくびーあいじー		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	別人物名が連結した読みを削除
53	APPLIED	DELETE	ZIP!	じっぷてぃーゔぃー		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	表記にないTVを含む読みを削除
